iteration,test_file_user,compare_file_user,is_true_user,is_enrolled,match_score,similarity,result,timestamp,TAR,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00001A0001,TRUE,TRUE,0.33,1,success,19/09/2025 19:31,Tp,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00002I0015,FALSE,TRUE,0.33,0.6,fail,19/09/2025 19:31,Tn,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00003A0007,FALSE,TRUE,0.33,0.49,fail,19/09/2025 19:31,Tn,,100 Chinese Users,,,,,,,,,100 Bea Data Set,,,,,,,
1,20170001P00001A0001,20170001P00004A0003,FALSE,TRUE,0.33,0.45,fail,19/09/2025 19:31,Tn,,50 Iterations,,,75 Iterations,,,100 Iterations,,,50 Iterations,,,75 Iterations,,,100 Iterations,
1,20170001P00001A0001,20170001P00005A0036,FALSE,TRUE,0.33,0.54,fail,19/09/2025 19:31,Tn,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00006A0006,FALSE,TRUE,0.33,0.55,fail,19/09/2025 19:31,Tn,,Result,Count,,Result,Count,,Result,Count,,Result,Count,,Result,Count,,Result,Count
1,20170001P00001A0001,20170001P00007A0019,FALSE,TRUE,0.33,0.51,fail,19/09/2025 19:31,Tn,,Tp,1500,,Tp,2250,,Tp,3000,,Tp,46,,Tp,70,,Tp,95
1,20170001P00001A0001,20170001P00008A0049,FALSE,TRUE,0.33,0.44,fail,19/09/2025 19:31,Tn,,Tn,498500,,Tn,747750,,Tn,997000,,Tn,150,,Tn,225,,Tn,300
1,20170001P00001A0001,20170001P00009A0068,FALSE,TRUE,0.33,0.48,fail,19/09/2025 19:31,Tn,,Fp,0,,Fp,0,,Fp,0,,Fp,50,,Fp,75,,Fp,100
1,20170001P00001A0001,20170001P00010A0057,FALSE,TRUE,0.33,0.55,fail,19/09/2025 19:31,Tn,,Fn,0,,Fn,0,,Fn,0,,Fn,4,,Fn,5,,Fn,5
1,20170001P00001A0001,20170001P00011A0107,FALSE,TRUE,0.33,0.54,fail,19/09/2025 19:31,Tn,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00012A0025,FALSE,TRUE,0.33,0.58,fail,19/09/2025 19:31,Tn,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00013I0105,FALSE,TRUE,0.33,0.51,fail,19/09/2025 19:31,Tn,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00014A0110,FALSE,TRUE,0.33,0.51,fail,19/09/2025 19:31,Tn,,Total (100 Chinese + Bea),,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00015A0118,FALSE,TRUE,0.33,0.54,fail,19/09/2025 19:31,Tn,,50 Iterations,,,75 Iterations,,,100 Iterations,,,,,,,,,,
1,20170001P00001A0001,20170001P00016A0002,FALSE,TRUE,0.33,0.52,fail,19/09/2025 19:31,Tn,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00017I0013,FALSE,TRUE,0.33,0.53,fail,19/09/2025 19:31,Tn,,Result,Count,,Result,Count,,Result,Count,,,,,,,,,
1,20170001P00001A0001,20170001P00018A0018,FALSE,TRUE,0.33,0.44,fail,19/09/2025 19:31,Tn,,Tp,1546,,Tp,2320,,Tp,3095,,,,,,,,,
1,20170001P00001A0001,20170001P00019I0030,FALSE,TRUE,0.33,0.46,fail,19/09/2025 19:31,Tn,,Tn,498650,,Tn,747975,,Tn,997300,,,,,,,,,
1,20170001P00001A0001,20170001P00020A0033,FALSE,TRUE,0.33,0.58,fail,19/09/2025 19:31,Tn,,Fp,50,,Fp,75,,Fp,100,,,,,,,,,
1,20170001P00001A0001,20170001P00021A0041,FALSE,TRUE,0.33,0.45,fail,19/09/2025 19:31,Tn,,Fn,4,,Fn,5,,Fn,5,,,,,,,,,
1,20170001P00001A0001,20170001P00022I0050,FALSE,TRUE,0.33,0.63,fail,19/09/2025 19:31,Tn,,,,,,,,,,,,,,,,,,
1,20170001P00001A0001,20170001P00023A0056,FALSE,TRUE,0.33,0.47,fail,19/09/2025 19:31,Tn,,FAR,0.000100261,,FAR,0.000100261,,FAR,0.000100261,,,,,,,,,
1,20170001P00001A0001,20170001P00024A0064,FALSE,TRUE,0.33,0.52,fail,19/09/2025 19:31,Tn,,FRR,0.002580645,,FRR,0.002150538,,FRR,0.001612903,,,,,,,,,
1,20170001P00001A0001,20170001P00025I0074,FALSE,TRUE,0.33,0.64,fail,19/09/2025 19:31,Tn,,TAR,0.997419355,,TAR,0.997849462,,TAR,0.998387097,,,,,,,,,
1,20170001P00001A0001,20170001P00026A0077,FALSE,TRUE,0.33,0.54,fail,19/09/2025 19:31,Tn,,TRR,0.999899739,,TRR,0.999899739,,TRR,0.999899739,,,,,,,,,
